rank,name,difficulty,points,publisher,verifier,creators,id
30,Firework,Unknown,0,[TCD] Trick,[TCD] Trick,Unknown,379
31,Silentlocked,Unknown,0,GDSkele,TFIBB,Unknown,648
32,poocubed,Unknown,0,Liisp,Kyasshukodo,Unknown,464
33,Snowbound,Unknown,0,[JUICE] Amplitron,[JUICE] Amplitron,Unknown,658
34,Saul Goodman,Unknown,0,Renn241,bloom,Unknown,496
35,The Salt Factory,Unknown,0,Nickname09,Nickname09,Unknown,655
36,CONVULSION,Unknown,0,stellar,[IQB7] Whizkid05,Unknown,640
37,MINUSdry,Unknown,0,CDMusic,Varium,Unknown,487
38,Apocalyptic Trilogy,Unknown,0,APTeamOfficial,Polterghast,Unknown,614
39,Sevvend Clubstep,Unknown,0,cherryteam,[SSS] Vorten,Unknown,630
40,The Hallucination,Unknown,0,SyQual,VoTcHi,Unknown,427
41,COMBUSTION,Unknown,0,[SKWAD] Cersia,[SKWAD] Slithium,Unknown,526
42,Deadlier Clubstep,Unknown,0,HeroZombie80,Jenath,Unknown,558
43,Edge of Destiny,Unknown,0,CDMusic,Polterghast,Unknown,485
44,Solar Flare,Unknown,0,Linear,[1319] swiborg,Unknown,495
45,LIMBO,Unknown,0,MindCap,[1319] BUNNYGRAM,Unknown,467
46,Gaggatrondra,Unknown,0,JCMoon,Zeronium,Unknown,615
47,Belladonna,Unknown,0,cherryteam,[PRIME] exsii,Unknown,551
48,Codependence,Unknown,0,TCTeam,[IH82P] Pukklez,Unknown,511
49,Mayhem,Unknown,0,[DL] LordVadercraft,[DL] LordVadercraft,Unknown,439
50,walter white,Unknown,0,Renn241,[OG B] Laysah,Unknown,429
51,Infinite Chaos,Unknown,0,CairoX,Victurkey,Unknown,653
52,Operation Evolution,Unknown,0,Halzion,cobrablitz,Unknown,627
53,Damascus,Unknown,0,Dzeser,Timo,Unknown,521
54,Collapse,Unknown,0,[COMET] Nexel,[COMET] Nexel,Unknown,606
55,Decks Dark,Unknown,0,[SKG] Madison Yuko,[IQB7] Whizkid05,Unknown,659
56,The Plunge,Unknown,0,Dolabill,Gokill,Unknown,610
57,SARYYX NEVER CLEAR,Unknown,0,artos,skzyl,Unknown,547
58,The Yangire,Unknown,0,Dorami,Dorami,Unknown,590
59,Climax,Unknown,0,HushLC,Wain,Unknown,540
60,ORDINARY,Unknown,0,vit12,[WBT] wPopoff,Unknown,579
61,Loops of Fury,Unknown,0,[TCC] Enfur,[TCC] Cork,Unknown,642
62,Midnight,Unknown,0,[SKG] Madison Yuko,[BLOOM] nei,Unknown,549
63,Sinister Silence,Unknown,0,Wahffle,DarkTD,Unknown,469
64,Cimmerian Shade,Unknown,0,spcreat,spcreat,Unknown,622
65,PSYCHOPATH,Unknown,0,DeniPol,[USSR] BONN GD,Unknown,570
66,arcturus,Unknown,0,Maxfs,ultrakawaHD,Unknown,383
67,BEELINE,Unknown,0,[DOOBY] Galaxxyss,[IH82P] Motor8,Unknown,605
68,Sonic Wave Infinity,Unknown,0,APTeamOfficial,[1319] Xanii,Unknown,349
69,Tartarus,Unknown,0,[USSR] Dolphy,[USSR] Dolphy,Unknown,250
70,Wavterminal,Unknown,0,Skyavoxii,Frice,Unknown,650
71,Waterfall,Unknown,0,cherryteam,[DL] LordVadercraft,Unknown,595
72,Coalescence,Unknown,0,[JUICE] Amplitron,[JUICE] Amplitron,Unknown,588
73,Crystal Crusher,Unknown,0,Zeniux,GuitGuit,Unknown,617
74,Delta,Unknown,0,[FaZe] Drakosa,[TCD] Doggie,Unknown,525
75,THE JET ENGINE,Unknown,0,[TARIQ] Billzer,[TARIQ] eviljoe,Unknown,633
